ORDER_NO,STN_ID,WMO_ID,CLIMATE_ID,ENG_STN_NAME,PROVINCE,TC_ID,STATION_TYPE,Count,Network,Error Types
11,9831,71076,406QLD0 ,URANIUM CITY (AUT),SASK,WDC ,AU8,61,CA,
59,31067,71401,1148705,WARFIELD RCS,BC ,XWF ,AU8,51,CA,
25,336,71207,10476F0 ,SQUAMISH AIRPORT,BC ,WSK ,AU8,44,CA,
48,30308,71350,830P001 ,HARRINGTON CDA CS,PEI ,AHR ,AU8,40,CA,
45,41576,71322,2301153,ARVIAT CLIMATE,NU ,XAR ,AU8,38,CA,
58,41944,71365,2202102,FORT SIMPSON CLIMATE,NWT ,ZFS ,AU8,35,CA,
63,3157,71446,4028060,SWIFT CURRENT CDA,SASK,WVC ,AU8,33,CA,
8,30578,71063,6105978,OTTAWA CDA RCS,ONT ,XOA ,AU8,31,CA,
121,1793,71983,2403450,REA POINT,NU ,ZRP ,AU8,31,CA,
84,48728,71632,5061649,LYNN LAKE RCS,MAN ,PLE ,AU8,30,CA,
82,50737,71613,2401199,EUREKA CLIMATE,NU ,NEK ,AU8,27,CA,
38,41903,71310,8300562,ST. PETERS,PEI ,ZSP ,AU8,26,CA,
67,7337,71490,2303610,ROBERTSON LAKE (AUT),NU ,WTD ,AU8,26,CA,
32,26799,71294,616I001 ,BANCROFT AUTO,ONT ,WRK ,AU8,25,CA,
83,10999,71622,6144478,LONDON CS,ONT ,WSN ,AU8,24,CA,
110,46367,71868,4083324,HUDSON BAY(AUT),SASK,ZHB ,AU8,23,CA,
111,50408,71884,8206491,YARMOUTH RCS,NS ,EQI ,AU8,21,CA,
3,30347,71026,3034485,MEDICINE HAT RCS,ALTA,XMW ,AU8,21,CA,
96,44143,71743,7116505,RIVIERE AUX FEUILLES,QUE ,MRF ,AU8,20,CA,
69,31688,71508,6158355,TORONTO CITY,ONT ,XTO ,AU8,20,CA,
125,54498,73002,4056243,PRINCE ALBERT GLASS FIELD,SASK,PPR ,AU8,18,CA,
60,43006,71407,2303094,KUGAARUK CLIMATE,NU ,NBB ,AU8,18,CA,
80,29517,71592,2400404,ARCTIC BAY CS,NU ,XAT ,AU8,18,CA,
79,43323,71590,8101303,EDMUNDSTON,NB ,ERM ,AU8,18,CA,
5,29715,71029,2502505,HOLMAN CS,NWT ,XHI ,AU8,14,CA,
94,42203,71741,1163842,KAMLOOPS AUT,BC ,ZKA ,AU8,13,CA,
47,43003,71332,2300904,KUGLUKTUK CLIMATE,NU ,NCO ,AU8,12,CA,
126,54638,73024,8401405,DANIEL'S HARBOUR,NFLD,ADL ,AU8,9,CA,
6,26894,71044,2100805,OLD CROW RCS,YT ,ZOC ,AU8,7,CA,
103,6812,71783,1018598,VICTORIA UNIVERSITY CS,BC ,WYJ ,AU8,6,CA,
127,54639,73025,8204708,SABLE ISLAND,NS ,ASB ,AU8,4,CA,
128,54640,73026,8402980,PORT AUX BASQUES,NFLD,APB ,AU8,3,CA,
30,42683,71279,7047914,SEPT-ILES,QUE ,XZV ,AU8,2,CA,
34,30266,71298,6133362,HARROW CDA AUTO,ONT ,XHA ,AU8,2,CA,
37,42123,71309,6075435,MOOSONEE RCS,ONT ,XZC ,AU8,2,CA,
61,10197,71434,6016295,PEAWANUCK (AUT),ONT ,WWN ,AU8,2,CA,
22,3721,71158,5030203,BERENS RIVER CS,MAN ,WCF ,AU8,2,CA,
35,30435,71299,6073980,KAPUSKASING CDA ON,ONT ,XKA ,AU8,1,CA,
36,32473,71307,6137154,RIDGETOWN RCS,ONT ,XRG ,AU8,1,CA,
118,48788,71956,6092920,GORE BAY CLIMATE,ONT ,TZE ,AU8,1,CA,
23,8935,71160,2201903,FORT RELIANCE (AUT),NWT ,WFZ ,AU8,1,CA,
57,41883,71364,2202578,INUVIK CLIMATE,NWT ,ZEV ,AU8,1,CA,
73,43243,71570,5031201,GREAT FALLS CLIMATE,MAN ,PGF ,AU8,1,CA,
4,30494,71028,1088015,TATLAYOKO LAKE RCS,BC ,XTL ,AU8,1,CA,
93,5889,71727,7060400,BAGOTVILLE A,QUE ,YBG ,WOD,151,DND,
104,6777,71816,8501900,GOOSE A,NFLD,YYR ,WSD,30,DND,
17,2832,71120,3081680,COLD LAKE A,ALTA,YOD ,WOD,17,DND,
9,49928,71066,3073140,HIGH LEVEL,ALTA,YOJ ,NCA,956,NAV,
109,53519,71834,6042717,GERALDTON A,ONT ,YGQ ,NCH,709,NAV,
15,51319,71109,1026271,PORT HARDY A,BC ,YZT ,NCH,534,NAV,
107,50822,71827,7093716,LA GRANDE RIVIERE A,QUE ,YGL ,NCH,382,NAV,
13,53118,71079,5062921,THOMPSON A,MAN ,YTH ,NCH,363,NAV,
114,52179,71906,7113535,KUUJJUAQ A,QUE ,YVP ,NCH,94,NAV,
119,50842,71964,2101303,WHITEHORSE A,YT ,YXY ,NCH,82,NAV,
26,50857,71208,6010740,BIG TROUT LAKE,ONT ,OTL ,AU8,0,,
98,10220,71747,6020LPQ ,ATIKOKAN (AUT),ONT ,WCH ,AU8,0,,
106,10721,71826,2403049,PANGNIRTUNG,NU ,WXP ,AU8,0,,
70,26866,71550,5040681,DAUPHIN CS,MAN ,WZT ,AU8,0,,
81,54098,71594,1192948,FORT NELSON,BC ,VFN ,AU8,0,,
